sysfs /sys sysfs rw,nosuid,nodev,noexec,relatime 0 0
proc /proc proc rw,nosuid,nodev,noexec,relatime 0 0
udev /dev devtmpfs rw,nosuid,relatime,size=7826544k,nr_inodes=1956636,mode=755,inode64 0 0
devpts /dev/pts devpts rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000 0 0
tmpfs /run tmpfs rw,nosuid,nodev,noexec,relatime,size=1573256k,mode=755,inode64 0 0
/dev/sda2 / ext4 rw,relatime,errors=remount-ro 0 0
securityfs /sys/kernel/security securityfs rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /dev/shm tmpfs rw,nosuid,nodev,inode64 0 0
tmpfs /run/lock tmpfs rw,nosuid,nodev,noexec,relatime,size=5120k,inode64 0 0
cgroup2 /sys/fs/cgroup cgroup2 rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot 0 0
pstore /sys/fs/pstore pstore rw,nosuid,nodev,noexec,relatime 0 0
efivarfs /sys/firmware/efi/efivars efivarfs rw,nosuid,nodev,noexec,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime,mode=700 0 0
systemd-1 /proc/sys/fs/binfmt_misc autofs rw,relatime,fd=29,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=18778 0 0
mqueue /dev/mqueue mqueue rw,nosuid,nodev,noexec,relatime 0 0
hugetlbfs /dev/hugepages hugetlbfs rw,relatime,pagesize=2M 0 0
debugfs /sys/kernel/debug debugfs rw,nosuid,nodev,noexec,relatime 0 0
tracefs /sys/kernel/tracing tracefs rw,nosuid,nodev,noexec,relatime 0 0
fusectl /sys/fs/fuse/connections fusectl rw,nosuid,nodev,noexec,relatime 0 0
configfs /sys/kernel/config configfs rw,nosuid,nodev,noexec,relatime 0 0
ramfs /run/credentials/systemd-sysusers.service ramfs ro,nosuid,nodev,noexec,relatime,mode=700 0 0
/dev/loop0 /snap/bare/5 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop1 /snap/clion/222 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop2 /snap/clion/229 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop3 /snap/core/14784 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop4 /snap/core18/2708 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop5 /snap/core18/2714 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop6 /snap/core20/1822 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop7 /snap/core20/1828 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop8 /snap/core22/522 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop9 /snap/firefox/2356 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop10 /snap/firefox/2391 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop11 /snap/gimp/393 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop12 /snap/gnome-3-38-2004/112 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop13 /snap/gnome-3-38-2004/119 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop14 /snap/gnome-42-2204/56 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop16 /snap/gtk2-common-themes/13 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop15 /snap/gnome-42-2204/65 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop17 /snap/gtk-common-themes/1535 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop18 /snap/pycharm-community/321 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop19 /snap/pycharm-community/323 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop20 /snap/snap-store/582 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop21 /snap/snap-store/638 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop22 /snap/snapd/17950 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop23 /snap/snapd/18357 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop25 /snap/snapd-desktop-integration/57 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/loop24 /snap/snapd-desktop-integration/49 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/sda2 /var/snap/firefox/common/host-hunspell ext4 ro,noexec,noatime,errors=remount-ro 0 0
/dev/loop26 /snap/viber-unofficial/37 squashfs ro,nodev,relatime,errors=continue 0 0
/dev/sda1 /boot/efi vfat rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro 0 0
binfmt_misc /proc/sys/fs/binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime 0 0
tmpfs /run/snapd/ns tmpfs rw,nosuid,nodev,noexec,relatime,size=1573256k,mode=755,inode64 0 0
nsfs /run/snapd/ns/snapd-desktop-integration.mnt nsfs rw 0 0
tmpfs /run/user/1000 tmpfs rw,nosuid,nodev,relatime,size=1573252k,nr_inodes=393313,mode=700,uid=1000,gid=1000,inode64 0 0
gvfsd-fuse /run/user/1000/gvfs fuse.gvfsd-fuse rw,nosuid,nodev,relatime,user_id=1000,group_id=1000 0 0
portal /run/user/1000/doc fuse.portal rw,nosuid,nodev,relatime,user_id=1000,group_id=1000 0 0
nsfs /run/snapd/ns/snap-store.mnt nsfs rw 0 0
